service_id,date,exception_type
3,20150406,1
0,20150407,1
Na,20150407,1
Sf,20150407,1
0,20150408,1
Na,20150408,1
Sf,20150408,1
0,20150409,1
Na,20150409,1
Sf,20150409,1
0,20150410,1
Na,20150410,1
Sf,20150410,1
Fa,20150410,1
Yr,20150410,1
2,20150411,1
Nb,20150412,1
3,20150412,1
0,20150413,1
Ss,20150413,1
Na,20150413,1
Su,20150413,1
0,20150414,1
Ss,20150414,1
Na,20150414,1
Su,20150414,1
0,20150415,1
Ss,20150415,1
Na,20150415,1
Su,20150415,1
0,20150416,1
Ss,20150416,1
Na,20150416,1
Su,20150416,1
0,20150417,1
Ss,20150417,1
Na,20150417,1
Su,20150417,1
Fa,20150417,1
Yr,20150417,1
2,20150418,1
Nb,20150419,1
3,20150419,1
0,20150420,1
Ss,20150420,1
Na,20150420,1
Su,20150420,1
0,20150421,1
Ss,20150421,1
Na,20150421,1
Su,20150421,1
0,20150422,1
Ss,20150422,1
Na,20150422,1
Su,20150422,1
0,20150423,1
Ss,20150423,1
Na,20150423,1
Su,20150423,1
0,20150424,1
Ss,20150424,1
Na,20150424,1
Su,20150424,1
Fa,20150424,1
Yr,20150424,1
2,20150425,1
Nb,20150426,1
3,20150426,1
0,20150427,1
Ss,20150427,1
Na,20150427,1
Su,20150427,1
0,20150428,1
Ss,20150428,1
Na,20150428,1
Su,20150428,1
0,20150429,1
Ss,20150429,1
Na,20150429,1
Su,20150429,1
0,20150430,1
Ss,20150430,1
Na,20150430,1
Su,20150430,1
Fa,20150430,1
Fb,20150430,1
Yr,20150430,1
3,20150501,1
Ys,20150501,1
2,20150502,1
Nb,20150503,1
3,20150503,1
0,20150504,1
Ss,20150504,1
Na,20150504,1
Su,20150504,1
0,20150505,1
Ss,20150505,1
Na,20150505,1
Su,20150505,1
0,20150506,1
Ss,20150506,1
Na,20150506,1
Su,20150506,1
0,20150507,1
Ss,20150507,1
Na,20150507,1
Su,20150507,1
0,20150508,1
Ss,20150508,1
Na,20150508,1
Su,20150508,1
Fa,20150508,1
Yr,20150508,1
2,20150509,1
Nb,20150510,1
3,20150510,1
0,20150511,1
Ss,20150511,1
Na,20150511,1
Su,20150511,1
0,20150512,1
Ss,20150512,1
Na,20150512,1
Su,20150512,1
0,20150513,1
Ss,20150513,1
Na,20150513,1
Su,20150513,1
Fa,20150513,1
Fb,20150513,1
Yr,20150513,1
Nb,20150514,1
3,20150514,1
0,20150515,1
Na,20150515,1
Su,20150515,1
Sf,20150515,1
Fa,20150515,1
Yr,20150515,1
2,20150516,1
Nb,20150517,1
3,20150517,1
0,20150518,1
Ss,20150518,1
Na,20150518,1
Su,20150518,1
0,20150519,1
Ss,20150519,1
Na,20150519,1
Su,20150519,1
0,20150520,1
Ss,20150520,1
Na,20150520,1
Su,20150520,1
0,20150521,1
Ss,20150521,1
Na,20150521,1
Su,20150521,1
0,20150522,1
Ss,20150522,1
Na,20150522,1
Su,20150522,1
Fa,20150522,1
Yr,20150522,1
2,20150523,1
3,20150524,1
Ys,20150524,1
Nb,20150525,1
3,20150525,1
0,20150526,1
Na,20150526,1
Su,20150526,1
Sf,20150526,1
0,20150527,1
Na,20150527,1
Su,20150527,1
Sf,20150527,1
0,20150528,1
Na,20150528,1
Su,20150528,1
Sf,20150528,1
0,20150529,1
Na,20150529,1
Su,20150529,1
Sf,20150529,1
